age	data
54	gut
68	gut
43	gut
67	gut
64	gut
29	gut
37	gut
65	gut
68	gut
67	gut
49	gut
52	gut
59	gut
48	gut
28	gut
22	gut
13	gut
5	gut
31	gut
35	gut
34	gut
65	gut
42	gut
59	gut
38	gut
40	gut
61	gut
32	gut
70	gut
57	gut
62	gut
70	gut
60	gut
66	gut
71	gut
52	gut
46	gut
39	gut
63	gut
42	gut
48	gut
52	gut
60	gut
44	gut
57	gut
29	gut
49	gut
19	gut
46	gut
55	gut
44	gut
29	gut
33	gut
57	gut
58	gut
49	gut
58	gut
26	gut
55	gut
37	gut
53	gut
62	gut
34	gut
27	gut
31	gut
29	gut
30	gut
29	gut
25	gut
29	gut
36	gut
48	gut
75	gut
33	gut
56	gut
43	gut
18	gut
19	gut
19	gut
22	gut
60	gut
66	gut
27	gut
29	gut
46	gut
40	gut
60	gut
58	gut
65	gut
46	gut
56	gut
22	gut
50	gut
62	gut
64	gut
41	gut
53	gut
52	gut
51	gut
53	gut
58	gut
57	gut
69	gut
34	gut
70	gut
53	gut
12	gut
42	gut
42	gut
50	gut
62	gut
48	gut
71	gut
40	gut
41	gut
36	gut
39	gut
63	gut
32	gut
33	gut
34	gut
33	gut
47	gut
31	gut
37	gut
66	gut
31	gut
53	gut
72	gut
73	gut
59	gut
63	gut
55	gut
29	gut
9	gut
32	gut
41	gut
67	gut
62	gut
50	gut
37	gut
37	gut
62	gut
23	gut
37	gut
32	gut
51	gut
64	gut
59	gut
65	gut
38	gut
51	gut
54	gut
25	gut
35	gut
30	gut
30	gut
60	gut
30	gut
27	gut
42	gut
49	gut
38	gut
42	gut
27	gut
31	gut
35	gut
45	gut
26	gut
35	gut
26	gut
43	gut
23	gut
31	gut
23	gut
42	gut
47	gut
33	gut
29	gut
33	gut
24	gut
45	gut
29	gut
34	gut
37	gut
27	gut
29	gut
24	gut
30	gut
45	gut
33	gut
38	gut
19	gut
28	gut
30	gut
20	gut
42	gut
26	gut
46	gut
28	gut
33	gut
39	gut
45	gut
35	gut
27	gut
30	gut
35	gut
30	gut
7	gut
26	gut
24	gut
35	gut
30	gut
35	gut
27	gut
31	gut
43	gut
25	gut
30	gut
28	gut
46	gut
49	gut
24	gut
48	gut
41	gut
42	gut
58	gut
67	gut
37	gut
45	gut
57	gut
45	gut
24	gut
64	gut
50	gut
30	gut
65	gut
52	gut
28	gut
52	gut
20	gut
44	gut
6	gut
41	gut
53	gut
21	gut
42	gut
39	gut
36	gut
22	gut
36	gut
40	gut
43	gut
64	gut
64	gut
37	gut
66	gut
30	gut
32	gut
32	gut
39	gut
34	gut
22	gut
57	gut
56	gut
25	gut
38	gut
42	gut
67	gut
72	gut
45	gut
25	gut
28	gut
47	gut
30	gut
38	gut
26	gut
74	gut
44	gut
51	gut
55	gut
61	gut
65	gut
23	gut
45	gut
66	gut
52	gut
44	gut
30	gut
26	gut
67	gut
33	gut
49	gut
54	gut
29	gut
39	gut
58	gut
63	gut
32	gut
60	gut
57	gut
22	gut
52	gut
42	gut
58	gut
59	gut
61	gut
34	gut
51	gut
58	gut
69	gut
59	gut
56	gut
31	gut
41	gut
65	gut
36	gut
40	gut
28	gut
66	gut
29	gut
24	gut
28	gut
58	gut
61	gut
68	gut
38	gut
63	gut
66	gut
64	gut
57	gut
57	gut
37	gut
31	gut
57	gut
9	gut
28	gut
56	gut
33	gut
46	gut
40	gut
54	gut
55	gut
58	gut
33	gut
40	gut
69	gut
68	gut
64	gut
45	gut
46	gut
50	gut
25	gut
25	gut
64	gut
71	gut
49	gut
29	gut
41	gut
45	gut
57	gut
46	gut
21	gut
58	gut
62	gut
63	gut
41	gut
54	gut
47	gut
38	gut
30	gut
54	gut
42	gut
51	gut
56	gut
32	gut
49	gut
35	gut
17	gut
11	gut
14	gut
77	gut
38	gut
58	gut
47	gut
46	gut
64	gut
31	gut
69	gut
44	gut
29	gut
43	gut
49	gut
48	gut
39	gut
53	gut
41	gut
32	gut
16	gut
19	gut
69	gut
51	gut
50	gut
51	gut
36	gut
69	gut
45	gut
55	gut
37	gut
58	gut
66	gut
52	gut
29	gut
44	gut
64	gut
36	gut
7	gut
16	gut
11	gut
12	gut
16	gut
3	gut
48	gut
63	gut
50	gut
60	gut
48	gut
48	gut
39	gut
41	gut
56	gut
26	gut
58	gut
69	gut
59	gut
47	gut
42	gut
35	gut
34	gut
70	gut
50	gut
31	gut
46	gut
35	gut
48	gut
32	gut
48	gut
62	gut
67	gut
63	gut
26	gut
44	gut
62	gut
13	gut
45	gut
37	gut
57	gut
43	gut
53	gut
36	gut
18	gut
45	gut
54	gut
63	gut
51	gut
58	gut
51	gut
45	gut
22	gut
72	gut
13	gut
24	gut
47	gut
43	gut
48	gut
54	gut
20	gut
36	gut
61	gut
47	gut
58	gut
37	gut
38	gut
53	gut
52	gut
40	gut
46	gut
35	gut
53	gut
50	gut
39	gut
57	gut
37	gut
43	gut
46	gut
51	gut
49	gut
41	gut
55	gut
67	gut
65	gut
42	gut
29	gut
52	gut
31	gut
31	gut
47	gut
43	gut
50	gut
33	gut
35	gut
67	gut
46	gut
74	gut
54	gut
50	gut
69	gut
34	gut
64	gut
35	gut
40	gut
43	gut
60	gut
66	gut
41	gut
27	gut
38	gut
37	gut
54	gut
32	gut
31	gut
52	gut
52	gut
39	gut
33	gut
33	gut
53	gut
31	gut
19	gut
18	gut
39	gut
72	gut
48	gut
54	gut
63	gut
62	gut
32	gut
47	gut
48	gut
53	gut
48	gut
51	gut
62	gut
65	gut
46	gut
75	gut
75	gut
50	gut
37	gut
36	gut
47	gut
60	gut
62	gut
46	gut
20	gut
41	gut
31	gut
38	gut
45	gut
39	gut
38	gut
59	gut
58	gut
56	gut
49	gut
64	gut
53	gut
35	gut
63	gut
41	gut
49	gut
63	gut
72	gut
80	gut
90	gut
67	gut
63	gut
62	gut
56	gut
49	gut
46	gut
45	gut
46	gut
42	gut
54	gut
45	gut
62	gut
76	gut
42	gut
62	gut
63	gut
44	gut
53	gut
49	gut
37	gut
44	gut
39	gut
35	gut
35	gut
60	gut
34	gut
74	gut
50	gut
62	gut
60	gut
58	gut
38	gut
24	gut
44	gut
65	gut
73	gut
30	gut
30	gut
69	gut
65	gut
64	gut
67	gut
62	gut
54	gut
64	gut
66	gut
52	gut
34	gut
51	gut
57	gut
58	gut
34	gut
28	gut
41	gut
55	gut
54	gut
64	gut
49	gut
44	gut
38	gut
52	gut
28	gut
38	gut
67	gut
68	gut
37	gut
44	gut
45	gut
28	gut
28	gut
67	gut
39	gut
61	gut
21	gut
21	gut
69	gut
35	gut
39	gut
56	gut
